# ----------------------------------------
# Reports snapshot
# Account: fowl AI (396215392)
# Property: fowl AI (539490882)
# NOTE: pulled directly from the GA4 UI (Reports > Snapshot, Reports > Pages and screens,
# and User attributes > Demographic details for the key-event total) via Claude in Chrome
# for the weekly-analytics-review scheduled task, not a manual CSV export.
# NOTE: reporting period is the 7 days ending today (2026-08-21), so the final day is
# partial — treat 2026-08-21 counts as incomplete.
# ----------------------------------------
#
# Start date: 20260815
# End date: 20260821
Active users,New users,Average engagement time per active user,Event count
101,92,13,645

#
# Start date: 20260815
# End date: 20260821
Page title and screen class,Views,Active users,Event count,Bounce rate
"FOWL AI | AI Jobs, Platforms & Opportunities",82,64,329,0.681
Contact — FOWL AI,24,22,121,0.130
AI Platforms Directory — FOWL AI,17,15,58,0.529
AI Jobs Board | Remote AI Opportunities & Roles | FOWL AI,11,8,41,0.444
All Issues — FOWL AI,7,2,16,0.400
"AI Glossary — LLM, Agent, MCP, Skills & Claude CLI Explained | FOWL AI",5,3,21,0.500
About TYB — FOWL AI,4,4,14,0.500

#
# Start date: 20260815
# End date: 20260821
# Pages and screens: Page path and screen class (top 10 of 14 rows; rows 11-14 each had
# 1-2 views). Totals: 162 views, 101 active users, 645 events, 26 key events.
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events
/,81,64,1.27,7,331,0
/contact/,24,22,1.09,4,121,26
/platforms/,17,15,1.13,3,58,0
/jobs/,11,8,1.38,29,41,0
/issues/,7,2,3.50,12,16,0
/glossary/,5,3,1.67,95,21,0
/about/,4,4,1.00,4,15,0
/issues/2026-07-13/,4,2,2.00,0,11,0
/tests/,3,1,3.00,29,7,0
/faq/,2,2,1.00,3,7,0

# NOTE: /glossary/ and /faq/ are NEW page paths appearing for the first time in this
# report. /glossary/ carries by far the highest average engagement time on the site this
# week (1m 35s vs. a 13s site average) on a 3-user sample — directional only.
# /tests/ (the head-to-head AI tool tests page, new last cycle) fell to 3 views / 1 user.

#
# Start date: 20260815
# End date: 20260821
First user source / medium,Active users
google / organic,72
(direct) / (none),15
chatgpt.com / ai-assistant,3
search.brave.com / referral,3
bing / organic,1
coccoc.com / referral,1
copilot.com / (none),1

#
# Start date: 20260815
# End date: 20260821
Session source / medium,Sessions
google / organic,81
(direct) / (none),13
chatgpt.com / ai-assistant,6
ig / social,3
search.brave.com / referral,3
bing / organic,1
coccoc.com / referral,1

#
# Start date: 20260815
# End date: 20260821
# NOTE: Nth-day new/returning cohort breakdown was not retrievable from the GA4 UI
# snapshot/demographic views used for this pull (would require the Retention report,
# which this session did not navigate to, consistent with prior cycles). Left blank —
# see metrics-history.csv.
Nth day,new,returning

# How does activity on your platforms compare?
# Start date: 20260815
# End date: 20260821
# NOTE: key-event total (26) taken from the Demographic details: Country report summary
# row (All Users total Key events = 26.00) and confirmed against Pages and screens, where
# all 26 land on /contact/. 100% of key events came from India. Only "generate_lead" is
# currently marked as a GA4 Key Event; subscribe_click/subscribe_submit still fire but
# remain unmarked — same pending manual step noted in EXPERIMENTS.md "Sitewide event
# instrumentation" (TICKET-6).
Platform,Key events
WEB,26
