# ----------------------------------------
# Reports snapshot
# Account: fowl AI
# Property: fowl AI
# ----------------------------------------
#  
# Start date: 20260715
# End date: 20260716
Active users,New users,Average engagement time per active user,Event count
33,28,17.333333333333332,180

#  
# Start date: 20260715
# End date: 20260716
Page title and screen class,Views,Active users,Event count,Bounce rate
"FOWL AI | AI Jobs, Platforms & Opportunities",21,14,64,1
Contact — FOWL AI,13,11,58,0
All Issues — FOWL AI,8,6,25,1
AI Jobs Board | Remote AI Opportunities & Roles | FOWL AI,6,4,19,1
AI Platforms Directory — FOWL AI,5,2,11,1
About TYB — FOWL AI,1,1,3,1

#  
# Start date: 20260715
# End date: 20260716
First user source / medium,Active users
google / organic,21
(direct) / (none),4
(data not available),2
chatgpt.com / ai-assistant,2

#  
# Start date: 20260715
# End date: 20260716
Session source / medium,Sessions
google / organic,23
(direct) / (none),3
(data not available),2
chatgpt.com / ai-assistant,2

#  
# Start date: 20260715
# End date: 20260716
Nth day,new,returning
0000,25,2
0001,2,0

# How does activity on your platforms compare?
# Start date: 20260715
# End date: 20260716
Platform,Key events
web,13

#  
# Start date: 20260715
# End date: 20260716
City,Active users
Patna,6
Ahmedabad,2
Atlanta,2
Bhubaneswar,2
Malang,2
Agartala,1
Bengaluru,1
Bhopal,1
Delhi,1
Hyderabad,1
Kanpur,1
Karachi,1
Kigali,1
Kolkata,1
Meerut,1
Pune,1
Quetta,1
Rajamahendravaram,1
Riyadh,1
Siliguri,1
Sonipat,1
Visalia,1

#  
# Start date: 20260715
# End date: 20260716
Audience name,Active users
All Users,33
