# ----------------------------------------
# Demographic details: Country
# Account: fowl AI
# Property: fowl AI
# NOTE: pulled directly from the GA4 UI (Reports > User attributes > Demographic details)
# via Claude in Chrome for the weekly-analytics-review scheduled task, not a manual CSV export.
# ----------------------------------------
#
# All Users
# Start date: 20260710
# End date: 20260716
Country,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
India,110,110,49,0.4153,0.45,3,514,33,0.2636,0
United States,9,6,11,0.5789,1.22,46,165,1,0.1111,0
Bangladesh,8,8,2,0.25,0.25,2,32,1,0.125,0
France,3,4,1,0.3333,0.33,0,12,0,0,0
Germany,3,4,1,0.3333,0.33,0,13,0,0,0
Pakistan,3,1,0,0,0,5,8,0,0,0
Indonesia,2,2,0,0,0,0,6,0,0,0
Kenya,2,2,2,0.6667,1.00,110,11,0,0,0
Saudi Arabia,2,2,0,0,0,1,7,0,0,0
Bulgaria,1,1,0,0,0,0,5,0,0,0
Canada,1,1,0,0,0,0,3,0,0,0
Nepal,1,1,1,1.00,1.00,5,6,0,0,0
Nigeria,1,1,0,0,0,0,3,0,0,0
Romania,1,1,1,1.00,1.00,0,4,1,1.00,0
Rwanda,1,0,0,0,0,326,2,0,0,0
Somalia,1,1,1,1.00,1.00,9,7,0,0,0
Spain,1,0,1,1.00,1.00,50,4,0,0,0
Sri Lanka,1,1,0,0,0,5,4,0,0,0
Thailand,1,1,0,0,0,5,4,0,0,0
United Kingdom,1,1,0,0,0,0,3,0,0,0
Vietnam,1,1,0,0,0,2,4,0,0,0
Ukraine,0,0,0,0,0,0,2,0,0,0
